id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills,degree_encoded,skill_match_ratio,candidate_coverage,required_skill_count,skills_text
FIT0000,"Docker, Excel, Linux, R, REST, TensorFlow","AWS, Airflow, ETL, Hadoop, TypeScript",Masters,0.9,0.0,0,0.237,"Docker, Excel, Linux, R, REST, TensorFlow",1.0,0.0,0.0,6.0,"Docker, Excel, Linux, R, REST, TensorFlow AWS, Airflow, ETL, Hadoop, TypeScript"
FIT0001,"CI/CD, Docker, Flask, JavaScript, Kubernetes, Node.js, Python, React","Kubernetes, NumPy, Python, Spark",Masters,1.9,2.0,1,0.467,"CI/CD, Docker, Flask, JavaScript, Node.js, React",1.0,0.25,0.5,8.0,"CI/CD, Docker, Flask, JavaScript, Kubernetes, Node.js, Python, React Kubernetes, NumPy, Python, Spark"
FIT0002,"Django, Node.js, PyTorch, React, SQL, TensorFlow","Django, Git, Kubernetes, Node.js, NumPy, React, Tableau",Masters,2.5,3.0,1,0.585,"PyTorch, SQL, TensorFlow",1.0,0.5,0.42857142857142855,6.0,"Django, Node.js, PyTorch, React, SQL, TensorFlow Django, Git, Kubernetes, Node.js, NumPy, React, Tableau"
FIT0003,"Docker, ETL, Flask, Python, REST, TensorFlow, TypeScript","AWS, Excel, Hadoop, PyTorch, R",Bachelors,2.7,0.0,0,0.231,"Docker, ETL, Flask, Python, REST, TensorFlow, TypeScript",0.0,0.0,0.0,7.0,"Docker, ETL, Flask, Python, REST, TensorFlow, TypeScript AWS, Excel, Hadoop, PyTorch, R"
FIT0004,"Airflow, Docker, Kubernetes, Pandas, R","Docker, GraphQL, PyTorch, REST, SQL",Bachelors,4.9,1.0,1,0.397,"Airflow, Kubernetes, Pandas, R",0.0,0.2,0.2,5.0,"Airflow, Docker, Kubernetes, Pandas, R Docker, GraphQL, PyTorch, REST, SQL"
FIT0005,"ETL, Flask, GCP, Git, Java, JavaScript, Scikit-learn","Flask, Kubernetes, REST, Scikit-learn",PhD,2.5,2.0,1,0.485,"ETL, GCP, Git, Java, JavaScript",2.0,0.2857142857142857,0.5,7.0,"ETL, Flask, GCP, Git, Java, JavaScript, Scikit-learn Flask, Kubernetes, REST, Scikit-learn"
FIT0006,"Django, ETL, Hadoop, JavaScript, SQL, Spark","AWS, Airflow, Docker, Flask, GCP, Hadoop, Linux, Python",Bachelors,3.2,1.0,1,0.346,"Django, ETL, JavaScript, SQL, Spark",0.0,0.16666666666666666,0.125,6.0,"Django, ETL, Hadoop, JavaScript, SQL, Spark AWS, Airflow, Docker, Flask, GCP, Hadoop, Linux, Python"
FIT0007,"Excel, Kubernetes, Linux, PyTorch, REST, TypeScript","AWS, Django, Docker, Git, GraphQL, Pandas, PyTorch, React, SQL, Scikit-learn",Bachelors,3.8,1.0,0,0.364,"Excel, Kubernetes, Linux, REST, TypeScript",0.0,0.16666666666666666,0.1,6.0,"Excel, Kubernetes, Linux, PyTorch, REST, TypeScript AWS, Django, Docker, Git, GraphQL, Pandas, PyTorch, React, SQL, Scikit-learn"
FIT0008,"Airflow, ETL, GCP, Node.js, Python","AWS, Airflow, R, Spark, TensorFlow, TypeScript",Masters,2.7,1.0,1,0.391,"ETL, GCP, Node.js, Python",1.0,0.2,0.16666666666666666,5.0,"Airflow, ETL, GCP, Node.js, Python AWS, Airflow, R, Spark, TensorFlow, TypeScript"
FIT0009,"Airflow, Excel, Git, Node.js, Python, TensorFlow","AWS, Airflow, Docker, Java, Kubernetes, Linux, NumPy, Power BI, SQL",Bachelors,2.4,1.0,0,0.322,"Excel, Git, Node.js, Python, TensorFlow",0.0,0.16666666666666666,0.1111111111111111,6.0,"Airflow, Excel, Git, Node.js, Python, TensorFlow AWS, Airflow, Docker, Java, Kubernetes, Linux, NumPy, Power BI, SQL"
FIT0010,"Docker, Linux, Pandas, R, Tableau","Django, Docker, ETL, Excel, GCP, Git, Python, REST, Tableau",Bachelors,4.5,2.0,0,0.485,"Linux, Pandas, R",0.0,0.4,0.2222222222222222,5.0,"Docker, Linux, Pandas, R, Tableau Django, Docker, ETL, Excel, GCP, Git, Python, REST, Tableau"
FIT0011,"Linux, Node.js, PyTorch, R, Scikit-learn, Tableau","Docker, Hadoop, Kubernetes, Linux, Pandas",Masters,0.0,1.0,0,0.31,"Node.js, PyTorch, R, Scikit-learn, Tableau",1.0,0.16666666666666666,0.2,6.0,"Linux, Node.js, PyTorch, R, Scikit-learn, Tableau Docker, Hadoop, Kubernetes, Linux, Pandas"
FIT0012,"CI/CD, Java, JavaScript, NumPy, REST, SQL, TypeScript","AWS, CI/CD, Docker, Hadoop, Pandas, PyTorch, Python, SQL, TypeScript",Bachelors,3.5,3.0,0,0.597,"Java, JavaScript, NumPy, REST",0.0,0.42857142857142855,0.3333333333333333,7.0,"CI/CD, Java, JavaScript, NumPy, REST, SQL, TypeScript AWS, CI/CD, Docker, Hadoop, Pandas, PyTorch, Python, SQL, TypeScript"
